District,Building Type,Rooms,Area,Floor,Renovation,Price
Քանաքեռ Զեյթուն,Պանելային,2,52,1,Կապիտալ,74000.0
Արաբկիր,Քարե,3,70,1,Կապիտալ,155000.0
Կենտրոն,Պանելային,2,43,9,Նորմալ վիճակ,75000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",3,87,10,Զրոյական վիճակ,135000.0
Էրեբունի,Քարե,3,73,3,Կապիտալ,93000.0
Նոր Նորք,"Պանելային, Նորակառույց",3,78,4,Կապիտալ,89000.0
Կենտրոն,Քարե,2,59,5,Կապիտալ,123000.0
Քանաքեռ Զեյթուն,Պանելային,3,76,3,Կապիտալ,90000.0
Արաբկիր,Քարե,2,68,2,Կապիտալ,195000.0
Աջափնյակ,Քարե,2,54,4,Կապիտալ,78000.0
Նոր Նորք,Պանելային,3,77,7,Նորմալ վիճակ,89000.0
Աջափնյակ,Քարե,2,43,2,Դիզայներական,74500.0
Աջափնյակ,Քարե,1,37,2,Կապիտալ,69000.0
Նոր Նորք,Պանելային,2,44,9,Դիզայներական,70000.0
Քանաքեռ Զեյթուն,Քարե,2,32,4,Դիզայներական,80000.0
Կենտրոն,Պանելային,4,104,2,Կապիտալ,185000.0
Արաբկիր,Քարե,2,30,1,Կապիտալ,50000.0
Դավթաշեն,"Մոնոլիտ, Նորակառույց",2,74,9,Կապիտալ,152000.0
Դավթաշեն,Մոնոլիտ,3,74,16,Դիզայներական,152000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,55,2,Դիզայներական,115000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,80,2,Կապիտալ,245000.0
Մալաթիա Սեբաստիա,Պանելային,3,74,4,Կապիտալ,95000.0
Դավթաշեն,Պանելային,3,96,4,Նորմալ վիճակ,115000.0
Մալաթիա Սեբաստիա,Պանելային,3,80,1,Պետական վիճակ,90000.0
Արաբկիր,Քարե,3,82,4,Կապիտալ,165000.0
Քանաքեռ Զեյթուն,Պանելային,2,51,4,Նորմալ վիճակ,68000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,82,5,Կապիտալ,220000.0
Կենտրոն,Քարե,2,54,4,Կապիտալ,160000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",3,96,10,Կապիտալ,193000.0
Արաբկիր,Քարե,3,80,4,Դիզայներական,210000.0
Դավթաշեն,Պանելային,2,51,6,Կապիտալ,77000.0
Նոր Նորք,Պանելային,3,65,5,Կոսմետիկ,77000.0
Արաբկիր,Քարե,1,43,2,Կապիտալ,83000.0
Մալաթիա Սեբաստիա,Պանելային,3,55,8,Կապիտալ,72000.0
Մալաթիա Սեբաստիա,Պանելային,3,56,7,Կապիտալ,82000.0
Կենտրոն,Պանելային,1,43,6,Նորմալ վիճակ,85000.0
Արաբկիր,Քարե,2,41,4,Կապիտալ,89000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,59,4,Պետական վիճակ,111000.0
Կենտրոն,Պանելային,1,38,8,Նորմալ վիճակ,110000.0
Շենգավիթ,Քարե,2,48,1,Կապիտալ,71000.0
Քանաքեռ Զեյթուն,Պանելային,3,75,2,Կապիտալ,105000.0
Դավթաշեն,Քարե,3,65,6,Կապիտալ,103000.0
Քանաքեռ Զեյթուն,Քարե,3,59,3,Կապիտալ,85000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",3,70,8,Զրոյական վիճակ,90000.0
Ավան,Պանելային,2,54,4,Նորմալ վիճակ,75500.0
Արաբկիր,Քարե,1,45,2,Կապիտալ,102000.0
Նոր Նորք,Պանելային,4,94,6,Կապիտալ,102000.0
Արաբկիր,Քարե,3,52,2,Դիզայներական,120500.0
Արաբկիր,Քարե,2,53,1,Դիզայներական,88000.0
Քանաքեռ Զեյթուն,Քարե,2,66,5,Պետական վիճակ,77000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,65,7,Զրոյական վիճակ,120000.0
Նոր Նորք,Քարե,1,47,5,Նորմալ վիճակ,62000.0
Արաբկիր,Քարե,3,95,1,Կապիտալ,169000.0
Մալաթիա Սեբաստիա,Քարե,4,92,1,Նորմալ վիճակ,150000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,56,9,Զրոյական վիճակ,128000.0
Քանաքեռ Զեյթուն,Քարե,2,48,1,Կապիտալ,85000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",1,36,4,Դիզայներական,80000.0
Մալաթիա Սեբաստիա,Պանելային,4,91,7,Կապիտալ,130000.0
Շենգավիթ,Քարե,3,50,2,Կապիտալ,68000.0
Աջափնյակ,Քարե,3,75,1,Դիզայներական,102000.0
Ավան,Պանելային,2,54,4,Կապիտալ,75500.0
Մալաթիա Սեբաստիա,Քարե,3,73,4,Նորմալ վիճակ,85000.0
Դավթաշեն,Պանելային,1,56,7,Նորմալ վիճակ,82000.0
Արաբկիր,Պանելային,2,77,8,Կապիտալ,155000.0
Շենգավիթ,Քարե,2,60,1,Նորմալ վիճակ,77000.0
Քանաքեռ Զեյթուն,Պանելային,1,50,4,Կապիտալ,71000.0
Արաբկիր,Քարե,3,78,3,Կապիտալ,117000.0
Արաբկիր,Մոնոլիտ,3,65,8,Դիզայներական,199000.0
Շենգավիթ,"Մոնոլիտ, Նորակառույց",2,43,5,Կապիտալ,92000.0
Կենտրոն,Քարե,2,65,5,Նորմալ վիճակ,110000.0
Էրեբունի,Քարե,2,42,4,Նորմալ վիճակ,65500.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,63,3,Դիզայներական,190000.0
Աջափնյակ,Պանելային,4,69,6,Կապիտալ,92000.0
Քանաքեռ Զեյթուն,"Մոնոլիտ, Նորակառույց",2,60,6,Կապիտալ,120000.0
Արաբկիր,Պանելային,2,73,12,Պետական վիճակ,102000.0
Ավան,Պանելային,3,79,8,Կապիտալ,117000.0
Մալաթիա Սեբաստիա,Քարե,3,67,1,Կապիտալ,85000.0
Մալաթիա Սեբաստիա,Քարե,3,55,1,Կապիտալ,66000.0
Կենտրոն,Քարե,3,70,2,Կապիտալ,255000.0
Արաբկիր,Պանելային,4,97,4,Կապիտալ,260000.0
Արաբկիր,"Մոնոլիտ, Նորակառույց",2,42,15,Կապիտալ,102000.0
Կենտրոն,"Մոնոլիտ, Նորակառույց",2,64,3,Կապիտալ,210000.0
Աջափնյակ,"Մոնոլիտ, Նորակառույց",2,71,10,Կապիտալ,110000.0
Քանաքեռ Զեյթուն,Քարե,2,56,1,Կոսմետիկ,67000.0
Շենգավիթ,Պանելային,2,38,1,Պետական վիճակ,41500.0
Կենտրոն,Մոնոլիտ,1,37,3,Կոսմետիկ,83000.0
Նոր Նորք,Պանելային,2,62,2,Նորմալ վիճակ,80000.0
Նոր Նորք,Պանելային,2,51,5,Պետական վիճակ,61000.0
Նոր Նորք,Պանելային,2,52,1,Կոսմետիկ,67000.0
Աջափնյակ,Քարե,4,100,3,Նորմալ վիճակ,125000.0
