Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Երևան, Մալաթիա Սեբաստիա",Քարե,2,45,3,Դիզայներական,$79000
"Երևան, Քանաքեռ Զեյթուն",Քարե,2,36,2,Նորմալ վիճակ,$54000
"Երևան, Շենգավիթ",Մոնոլիտ,3,72,2,Կապիտալ,$175000
"Երևան, Շենգավիթ","Մոնոլիտ, Նորակառույց",3,55,2,Կապիտալ,$112007
"Երևան, Էրեբունի",Մոնոլիտ,3,72,2,Պետական վիճակ,$76000
"Երևան, Կենտրոն",Պանելային,3,97,7,Կապիտալ,$259000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",3,100,17,Կապիտալ,$205000
"Երևան, Արաբկիր",Քարե,3,72,4,Կապիտալ,$150000
"Երևան, Արաբկիր",Քարե,1,42,4,Դիզայներական,$87000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,79,2,Կապիտալ,$155000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,76,9,Կապիտալ,$150000
"Երևան, Մալաթիա Սեբաստիա","Մոնոլիտ, Նորակառույց",2,54,6,Զրոյական վիճակ,$95000
"Երևան, Նոր Նորք",Պանելային,2,63,2,Նորմալ վիճակ,$79000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,110,17,Զրոյական վիճակ,$158000
"Երևան, Կենտրոն",Պանելային,3,79,5,Նորմալ վիճակ,$175000
"Երևան, Դավթաշեն",Պանելային,4,76,8,Կապիտալ,$99000
"Երևան, Արաբկիր","Մոնոլիտ, Նորակառույց",4,110,17,Կապիտալ,$275000
"Երևան, Նոր Նորք",Պանելային,3,90,3,Նորմալ վիճակ,$105000
"Երևան, Դավթաշեն",Պանելային,3,80,5,Կապիտալ,$130000
"Երևան, Մալաթիա Սեբաստիա",Քարե,1,30,3,Կապիտալ,$60000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,4,92,3,Նորմալ վիճակ,$110000
"Արարատ, Այնթապ գյուղ",Քարե,2,50,2,Կապիտալ,$66000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,43,2,Կապիտալ,$80000
"Երևան, Կենտրոն",Պանելային,2,75,8,Նորմալ վիճակ,$225000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",3,73,11,Կապիտալ,$109000
"Երևան, Կենտրոն",Քարե,3,51,6,Կապիտալ,$145000
"Երևան, Քանաքեռ Զեյթուն",Քարե,2,55,4,Դիզայներական,$149000
"Երևան, Դավթաշեն",Պանելային,3,62,4,Դիզայներական,$130000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,65,2,Զրոյական վիճակ,$165000
"Երևան, Ավան","Մոնոլիտ, Նորակառույց",2,49,11,Զրոյական վիճակ,$76808
